date,open,high,low,close,volume,symbol,exchange,source,interval
2023-03-23,2245.25,2250.0,2198.0,2203.3,5711497,RELIANCE,BSE,nse_dual_list,1d
2023-03-26,2217.5,2254.0,2200.2,2237.55,6486068,RELIANCE,BSE,nse_dual_list,1d
2023-03-27,2245.0,2256.5,2237.0,2248.0,5804018,RELIANCE,BSE,nse_dual_list,1d
2023-03-28,2239.0,2244.8,2211.1,2234.7,8678073,RELIANCE,BSE,nse_dual_list,1d
2023-03-30,2255.0,2343.45,2254.7,2331.05,13001005,RELIANCE,BSE,nse_dual_list,1d
2023-04-02,2345.0,2349.0,2315.0,2331.45,4750238,RELIANCE,BSE,nse_dual_list,1d
2023-04-04,2348.0,2348.0,2308.55,2325.85,7505339,RELIANCE,BSE,nse_dual_list,1d
2023-04-05,2318.15,2354.0,2318.15,2341.45,8507771,RELIANCE,BSE,nse_dual_list,1d
2023-04-09,2350.0,2350.4,2321.55,2324.85,5981688,RELIANCE,BSE,nse_dual_list,1d
2023-04-10,2334.0,2341.0,2324.05,2336.35,4865301,RELIANCE,BSE,nse_dual_list,1d
2023-04-11,2336.35,2367.8,2330.05,2346.65,8389646,RELIANCE,BSE,nse_dual_list,1d
2023-04-12,2353.0,2365.8,2342.0,2355.5,5712541,RELIANCE,BSE,nse_dual_list,1d
2023-04-16,2424.95,2424.95,2349.05,2367.45,8274452,RELIANCE,BSE,nse_dual_list,1d
2023-04-17,2377.0,2377.0,2326.0,2340.35,4802172,RELIANCE,BSE,nse_dual_list,1d
2023-04-18,2339.05,2357.9,2332.2,2352.0,5664207,RELIANCE,BSE,nse_dual_list,1d
2023-04-19,2354.1,2359.0,2332.1,2346.05,3233882,RELIANCE,BSE,nse_dual_list,1d
2023-04-20,2350.65,2361.0,2336.4,2349.0,3529236,RELIANCE,BSE,nse_dual_list,1d
2023-04-23,2375.0,2380.9,2348.0,2358.0,5970048,RELIANCE,BSE,nse_dual_list,1d
2023-04-24,2366.0,2380.6,2350.5,2376.05,4262471,RELIANCE,BSE,nse_dual_list,1d
2023-04-25,2379.0,2386.1,2354.05,2362.1,3977129,RELIANCE,BSE,nse_dual_list,1d
2023-04-26,2375.0,2384.0,2364.0,2377.05,4230627,RELIANCE,BSE,nse_dual_list,1d
2023-04-27,2382.0,2423.9,2381.75,2420.5,7183342,RELIANCE,BSE,nse_dual_list,1d
2023-05-01,2436.2,2445.8,2428.1,2441.05,5991101,RELIANCE,BSE,nse_dual_list,1d
2023-05-02,2445.0,2445.0,2413.05,2420.1,3259053,RELIANCE,BSE,nse_dual_list,1d
2023-05-03,2421.15,2452.85,2414.6,2448.0,3985159,RELIANCE,BSE,nse_dual_list,1d
2023-05-04,2441.0,2461.35,2436.0,2441.75,4036548,RELIANCE,BSE,nse_dual_list,1d
2023-05-07,2450.0,2483.65,2444.15,2471.9,4224469,RELIANCE,BSE,nse_dual_list,1d
2023-05-08,2475.0,2486.8,2463.25,2479.55,2983468,RELIANCE,BSE,nse_dual_list,1d
2023-05-09,2490.0,2499.85,2481.2,2496.6,5017544,RELIANCE,BSE,nse_dual_list,1d
2023-05-10,2498.95,2509.5,2476.55,2480.3,4872451,RELIANCE,BSE,nse_dual_list,1d
2023-05-11,2469.8,2487.4,2456.5,2484.35,3209889,RELIANCE,BSE,nse_dual_list,1d
2023-05-14,2489.9,2504.55,2473.15,2489.25,3153587,RELIANCE,BSE,nse_dual_list,1d
2023-05-15,2494.0,2499.6,2450.15,2453.8,4023000,RELIANCE,BSE,nse_dual_list,1d
2023-05-16,2463.0,2465.0,2429.0,2439.3,4060722,RELIANCE,BSE,nse_dual_list,1d
2023-05-17,2449.55,2457.0,2427.15,2434.05,4857531,RELIANCE,BSE,nse_dual_list,1d
2023-05-18,2434.05,2445.95,2418.85,2441.95,3715280,RELIANCE,BSE,nse_dual_list,1d
2023-05-21,2435.0,2466.0,2432.35,2455.0,3431208,RELIANCE,BSE,nse_dual_list,1d
2023-05-22,2460.65,2468.0,2451.45,2454.55,2811473,RELIANCE,BSE,nse_dual_list,1d
2023-05-23,2445.9,2464.0,2433.45,2440.25,3743804,RELIANCE,BSE,nse_dual_list,1d
2023-05-24,2433.9,2449.0,2416.05,2439.95,5301647,RELIANCE,BSE,nse_dual_list,1d
2023-05-25,2458.0,2509.0,2450.75,2506.5,5827017,RELIANCE,BSE,nse_dual_list,1d
2023-05-28,2521.0,2530.0,2507.2,2520.6,4619754,RELIANCE,BSE,nse_dual_list,1d
2023-05-29,2520.6,2537.7,2514.35,2519.95,5234564,RELIANCE,BSE,nse_dual_list,1d
2023-05-30,2500.0,2509.85,2461.0,2469.9,12510304,RELIANCE,BSE,nse_dual_list,1d
2023-05-31,2480.15,2484.9,2458.0,2463.25,6734525,RELIANCE,BSE,nse_dual_list,1d
2023-06-01,2471.0,2482.85,2451.0,2455.2,7291995,RELIANCE,BSE,nse_dual_list,1d
2023-06-04,2467.2,2483.75,2458.45,2477.25,5034355,RELIANCE,BSE,nse_dual_list,1d
2023-06-05,2483.45,2487.7,2462.0,2479.35,3458161,RELIANCE,BSE,nse_dual_list,1d
2023-06-06,2487.0,2500.0,2472.6,2498.15,4759238,RELIANCE,BSE,nse_dual_list,1d
2023-06-07,2506.0,2516.85,2491.0,2499.65,5570815,RELIANCE,BSE,nse_dual_list,1d
2023-06-08,2507.0,2508.55,2478.0,2481.95,2712243,RELIANCE,BSE,nse_dual_list,1d
2023-06-11,2475.5,2489.2,2465.0,2484.15,2949893,RELIANCE,BSE,nse_dual_list,1d
2023-06-12,2495.0,2523.45,2486.25,2520.85,5190958,RELIANCE,BSE,nse_dual_list,1d
2023-06-13,2521.0,2555.0,2517.0,2551.85,6127509,RELIANCE,BSE,nse_dual_list,1d
2023-06-14,2551.8,2562.55,2535.5,2552.55,5451926,RELIANCE,BSE,nse_dual_list,1d
2023-06-15,2560.2,2582.4,2560.2,2577.4,11155180,RELIANCE,BSE,nse_dual_list,1d
2023-06-18,2584.0,2584.0,2542.65,2551.8,3137532,RELIANCE,BSE,nse_dual_list,1d
2023-06-19,2547.55,2564.0,2535.0,2557.1,3194085,RELIANCE,BSE,nse_dual_list,1d
2023-06-20,2557.0,2569.85,2548.0,2564.3,3212779,RELIANCE,BSE,nse_dual_list,1d
2023-06-21,2556.0,2573.3,2532.0,2535.5,3516244,RELIANCE,BSE,nse_dual_list,1d
2023-06-22,2528.9,2533.4,2512.0,2514.75,3059084,RELIANCE,BSE,nse_dual_list,1d
2023-06-25,2507.0,2515.4,2488.7,2495.55,5833893,RELIANCE,BSE,nse_dual_list,1d
2023-06-26,2496.55,2509.5,2486.65,2496.45,4471687,RELIANCE,BSE,nse_dual_list,1d
2023-06-27,2513.0,2537.85,2497.85,2529.5,5239872,RELIANCE,BSE,nse_dual_list,1d
2023-06-29,2546.4,2556.65,2533.45,2550.25,5146441,RELIANCE,BSE,nse_dual_list,1d
2023-07-02,2558.05,2622.0,2555.35,2615.7,5609248,RELIANCE,BSE,nse_dual_list,1d
2023-07-03,2625.0,2625.0,2573.25,2588.75,3720447,RELIANCE,BSE,nse_dual_list,1d
2023-07-04,2609.0,2609.0,2575.8,2584.5,4729479,RELIANCE,BSE,nse_dual_list,1d
2023-07-05,2576.05,2644.45,2576.05,2638.75,8822948,RELIANCE,BSE,nse_dual_list,1d
2023-07-06,2635.0,2664.95,2628.0,2633.6,6172684,RELIANCE,BSE,nse_dual_list,1d
2023-07-09,2688.9,2756.0,2675.0,2735.05,15340262,RELIANCE,BSE,nse_dual_list,1d
2023-07-10,2752.9,2770.0,2737.6,2764.7,9262001,RELIANCE,BSE,nse_dual_list,1d
2023-07-11,2766.3,2802.0,2761.65,2767.75,8645662,RELIANCE,BSE,nse_dual_list,1d
2023-07-12,2783.9,2799.0,2737.25,2743.0,6776172,RELIANCE,BSE,nse_dual_list,1d
2023-07-13,2750.0,2760.9,2725.1,2740.7,6979790,RELIANCE,BSE,nse_dual_list,1d
2023-07-16,2747.0,2815.05,2728.0,2796.7,10254545,RELIANCE,BSE,nse_dual_list,1d
2023-07-17,2817.0,2837.45,2793.0,2820.45,11937761,RELIANCE,BSE,nse_dual_list,1d
2023-07-18,2830.0,2856.0,2797.0,2841.85,18054869,RELIANCE,BSE,nse_dual_list,1d
2023-07-19,2580.0,2630.95,2580.0,2619.85,19358812,RELIANCE,BSE,nse_dual_list,1d
2023-07-20,2609.0,2614.9,2523.6,2538.75,15124619,RELIANCE,BSE,nse_dual_list,1d
2023-07-23,2481.0,2514.95,2469.3,2487.4,11863933,RELIANCE,BSE,nse_dual_list,1d
2023-07-24,2494.0,2505.2,2480.0,2485.8,6013010,RELIANCE,BSE,nse_dual_list,1d
2023-07-25,2485.0,2547.0,2485.0,2526.2,6455506,RELIANCE,BSE,nse_dual_list,1d
2023-07-26,2534.05,2537.65,2490.35,2502.7,8613449,RELIANCE,BSE,nse_dual_list,1d
2023-07-27,2512.05,2542.85,2500.55,2527.85,10413926,RELIANCE,BSE,nse_dual_list,1d
2023-07-30,2527.85,2553.9,2517.95,2549.25,4275587,RELIANCE,BSE,nse_dual_list,1d
2023-07-31,2555.0,2559.0,2505.3,2513.2,4768316,RELIANCE,BSE,nse_dual_list,1d
2023-08-01,2509.2,2512.0,2463.6,2486.35,6374107,RELIANCE,BSE,nse_dual_list,1d
2023-08-02,2475.3,2500.9,2458.05,2475.9,5084175,RELIANCE,BSE,nse_dual_list,1d
2023-08-03,2498.8,2516.0,2471.6,2509.55,11442805,RELIANCE,BSE,nse_dual_list,1d
2023-08-06,2521.0,2528.4,2505.0,2523.85,2991435,RELIANCE,BSE,nse_dual_list,1d
2023-08-07,2528.0,2534.45,2499.55,2508.65,4922036,RELIANCE,BSE,nse_dual_list,1d
2023-08-08,2504.85,2529.0,2481.1,2525.2,5743293,RELIANCE,BSE,nse_dual_list,1d
2023-08-09,2524.95,2550.0,2508.45,2536.45,7735299,RELIANCE,BSE,nse_dual_list,1d
2023-08-10,2532.45,2558.85,2512.35,2547.15,11089665,RELIANCE,BSE,nse_dual_list,1d
2023-08-13,2539.0,2582.3,2525.0,2577.25,4787906,RELIANCE,BSE,nse_dual_list,1d
2023-08-15,2551.0,2582.8,2551.0,2575.15,5101556,RELIANCE,BSE,nse_dual_list,1d
2023-08-16,2567.1,2578.1,2532.85,2538.0,6836872,RELIANCE,BSE,nse_dual_list,1d
2023-08-17,2531.25,2577.6,2508.55,2556.8,9319989,RELIANCE,BSE,nse_dual_list,1d
2023-08-20,2539.95,2555.45,2515.65,2520.0,4610873,RELIANCE,BSE,nse_dual_list,1d
2023-08-21,2516.9,2537.95,2499.0,2519.4,3856522,RELIANCE,BSE,nse_dual_list,1d
2023-08-22,2524.2,2542.85,2516.95,2522.2,4758976,RELIANCE,BSE,nse_dual_list,1d
2023-08-23,2539.9,2539.9,2471.0,2479.8,7070010,RELIANCE,BSE,nse_dual_list,1d
2023-08-24,2456.0,2505.0,2442.6,2468.35,11111200,RELIANCE,BSE,nse_dual_list,1d
2023-08-27,2472.0,2484.0,2431.1,2443.75,6290413,RELIANCE,BSE,nse_dual_list,1d
2023-08-28,2452.05,2453.45,2408.15,2420.35,8438322,RELIANCE,BSE,nse_dual_list,1d
2023-08-29,2432.0,2443.0,2415.0,2418.05,6084473,RELIANCE,BSE,nse_dual_list,1d
2023-08-30,2423.0,2425.0,2399.9,2407.0,10819300,RELIANCE,BSE,nse_dual_list,1d
2023-08-31,2406.55,2425.65,2401.65,2412.65,9056421,RELIANCE,BSE,nse_dual_list,1d
2023-09-03,2412.65,2423.65,2405.3,2410.7,4673813,RELIANCE,BSE,nse_dual_list,1d
2023-09-04,2420.0,2433.95,2412.45,2423.6,4337938,RELIANCE,BSE,nse_dual_list,1d
